Tid HomeOwner MaritalStatus AnnualIncome DefaultedBorrower 
1 true Married 1 ?
2 false Divorced 117 ?
3 false Single 158 ?
4 true Single 14 ?
5 false Single 177 ?
6 false Divorced 76 ?
7 true Married 180 ?
8 true Married 174 ?
9 true Single 7 ?
10 true Single 11 ?
11 false Married 75 ?
12 false Married 150 ?
13 false Single 45 ?
14 false Married 130 ?
15 true Divorced 164 ?
16 true Single 164 ?
17 false Divorced 68 ?
18 true Divorced 54 ?
19 true Single 167 ?
20 true Divorced 30 ?
21 true Divorced 78 ?
22 false Married 86 ?
23 false Married 84 ?
24 false Divorced 87 ?
25 false Single 33 ?
26 false Single 176 ?
27 true Single 158 ?
28 false Single 172 ?
29 false Married 30 ?
30 true Single 96 ?
31 true Single 131 ?
32 true Divorced 10 ?
33 true Divorced 97 ?
34 true Divorced 116 ?
35 false Married 23 ?
36 false Single 111 ?
37 false Single 44 ?
38 false Divorced 79 ?
39 false Married 110 ?
40 true Divorced 114 ?
41 true Single 76 ?
42 false Single 72 ?
43 true Single 96 ?
44 true Single 1 ?
45 false Divorced 172 ?
46 true Married 70 ?
47 true Divorced 191 ?
48 true Divorced 39 ?
49 true Married 151 ?
50 true Married 50 ?
51 true Divorced 157 ?
52 true Divorced 159 ?
53 true Divorced 0 ?
54 true Divorced 153 ?
55 true Divorced 82 ?
56 false Single 81 ?
57 false Married 22 ?
58 false Single 181 ?
59 true Married 194 ?
60 false Single 14 ?
61 false Divorced 59 ?
62 false Married 111 ?
63 false Single 19 ?
64 true Single 82 ?
65 true Married 155 ?
66 true Divorced 196 ?
67 true Divorced 196 ?
68 true Divorced 79 ?
69 true Divorced 193 ?
70 false Divorced 113 ?
71 true Divorced 178 ?
72 true Married 177 ?
73 true Divorced 68 ?
74 false Divorced 116 ?
75 true Single 13 ?
76 false Married 98 ?
77 false Married 80 ?
78 true Married 56 ?
79 false Single 39 ?
80 true Single 84 ?
81 true Divorced 82 ?
82 true Divorced 61 ?
83 true Divorced 77 ?
84 false Married 61 ?
85 false Single 115 ?
86 false Single 82 ?
87 true Married 87 ?
88 false Single 115 ?
89 false Single 125 ?
90 false Married 111 ?
91 false Married 114 ?
92 true Married 13 ?
93 true Divorced 74 ?
94 true Married 20 ?
95 true Married 166 ?
96 true Divorced 90 ?
97 false Married 81 ?
98 true Married 184 ?
99 true Divorced 194 ?
100 false Divorced 177 ?
101 false Divorced 76 ?
102 true Married 175 ?
103 true Single 51 ?
104 true Single 110 ?
105 false Divorced 20 ?
106 true Single 3 ?
107 true Single 132 ?
108 true Married 45 ?
109 false Married 150 ?
110 false Single 117 ?
111 true Divorced 176 ?
112 true Married 117 ?
113 false Single 54 ?
114 false Single 121 ?
115 true Single 44 ?
116 true Single 156 ?
117 true Married 17 ?
118 false Married 108 ?
119 true Married 96 ?
120 false Married 185 ?
121 true Divorced 25 ?
122 false Single 171 ?
123 false Divorced 164 ?
124 true Married 107 ?
125 true Divorced 145 ?
126 false Divorced 73 ?
127 true Married 0 ?
128 false Married 125 ?
129 false Single 199 ?
130 false Divorced 156 ?
131 true Single 124 ?
132 false Single 187 ?
133 true Divorced 113 ?
134 false Divorced 76 ?
135 true Married 63 ?
136 false Married 77 ?
137 true Single 192 ?
138 false Married 74 ?
139 false Single 163 ?
140 false Single 126 ?
141 false Single 169 ?
142 false Married 121 ?
143 true Single 86 ?
144 true Married 105 ?
145 true Married 18 ?
146 false Married 108 ?
147 false Single 84 ?
148 false Married 143 ?
149 false Divorced 96 ?
150 false Single 12 ?
151 false Married 49 ?
152 false Married 40 ?
153 false Married 135 ?
154 false Married 27 ?
155 false Married 99 ?
156 false Single 189 ?
157 true Divorced 18 ?
158 false Divorced 114 ?
159 true Divorced 77 ?
160 false Single 32 ?
161 false Married 58 ?
162 true Married 60 ?
163 true Married 86 ?
164 false Divorced 72 ?
165 false Single 180 ?
166 true Married 101 ?
167 false Single 104 ?
168 true Single 171 ?
169 true Single 195 ?
170 false Single 187 ?
171 true Single 30 ?
172 false Married 97 ?
173 false Single 52 ?
174 true Divorced 119 ?
175 false Divorced 109 ?
176 false Single 193 ?
177 true Divorced 135 ?
178 true Single 72 ?
179 true Single 155 ?
180 true Single 68 ?
181 false Married 131 ?
182 true Single 13 ?
183 true Married 190 ?
184 false Divorced 172 ?
185 true Divorced 18 ?
186 false Single 69 ?
187 false Married 164 ?
188 false Single 167 ?
189 true Divorced 171 ?
190 false Single 188 ?
191 true Single 64 ?
192 true Single 109 ?
193 false Single 166 ?
194 false Single 92 ?
195 false Single 141 ?
196 false Single 83 ?
197 false Divorced 169 ?
198 true Single 102 ?
199 true Single 91 ?
200 false Single 67 ?
201 false Married 129 ?
202 true Married 108 ?
203 true Married 79 ?
204 false Divorced 65 ?
205 true Single 109 ?
206 false Married 45 ?
207 true Married 80 ?
208 false Divorced 27 ?
209 true Divorced 108 ?
210 true Married 67 ?
211 true Single 77 ?
212 false Married 149 ?
213 true Married 22 ?
214 false Single 124 ?
215 false Divorced 106 ?
216 false Married 120 ?
217 true Married 55 ?
218 true Divorced 36 ?
219 false Single 153 ?
220 false Single 94 ?
221 false Married 143 ?
222 false Single 171 ?
223 false Divorced 150 ?
224 true Married 179 ?
225 false Divorced 78 ?
226 true Single 41 ?
227 true Divorced 76 ?
228 false Divorced 154 ?
229 true Single 37 ?
230 false Married 163 ?
231 false Single 132 ?
232 true Married 74 ?
233 false Single 87 ?
234 false Single 112 ?
235 false Single 100 ?
236 false Divorced 156 ?
237 true Single 6 ?
238 true Divorced 116 ?
239 true Married 148 ?
240 true Divorced 195 ?
241 false Single 19 ?
242 true Single 136 ?
243 true Single 100 ?
244 true Single 48 ?
245 true Single 132 ?
246 false Single 125 ?
247 true Divorced 98 ?
248 true Married 112 ?
249 false Divorced 153 ?
250 false Single 164 ?
251 false Divorced 152 ?
