Tid HomeOwner MaritalStatus AnnualIncome DefaultedBorrower 
1 true Divorced 180 false
2 true Divorced 174 false
3 false Single 153 false
4 false Married 110 true
5 false Divorced 187 true
6 false Married 17 false
7 false Single 64 true
8 false Single 1 true
9 true Married 39 false
10 false Single 107 false
11 false Single 91 true
12 false Divorced 7 false
13 true Married 24 false
14 true Divorced 4 false
15 true Married 50 false
16 true Divorced 14 false
17 true Married 138 false
18 true Divorced 58 true
19 false Single 162 false
20 false Single 150 true
